,a,period,core_mass,core_radius,fenv,mass,radius,age,t_eq,t_final,R_final,M_final,Lx0,Lx_final,fenv_final,frac_env_lost,t_ML_final_Gyr,Mdot_final,Mdot_final_M_earth_per_Gyr,Mdot_final_M_earth_per_yr,Mdot_init,Mdot_init_M_earth_per_Gyr,Mdot_init_M_earth_per_yr,beta_init,beta_final,mass_star,Lbol,Lx_age,flux,flux_EARTH,core_comp,track#
planet_3335,0.15740831499247093,20.5803172395217,0.9719628990172383,0.9623070041636893,0.6084567507178059,0.9779130771513177,2.9169387289458006,10.0,879.3043411938417,19.3700000000004,0.9623070041636893,0.9719628990172383,1.8281404354827861e+30,5.331087342586405e+29,0.0,1.0,0.0,9024646043.284134,0.047653023629219145,4.765302362921914e-11,3338843362377.778,17.63016309764875,1.7630163097648753e-08,3.6472791606705703,1.7770170944476114,1.2284986834968072,2.4681565130327745,5.231121403857138e+30,135590292.3729582,98.75476502036287,rock,2
planet_1075,0.20434667353699257,32.89229699354029,9.288597334488795,1.8104968454656374,10.606246898835716,10.390655960016762,5.082253638498562,10.0,647.4348500490389,10009.0,3.243890759023316,10.34028885861775,2.487793793893214e+30,6.981159915855284e+26,10.170813780046965,0.045702742333586774,4295.973334512741,46362464.307608545,0.0002448086713387947,2.448086713387947e-13,147266218472.50125,0.7776128343424832,7.776128343424832e-10,1.2986780362936148,1.181989797391803,1.0521999680139462,1.2225874213966492,2.487793793893214e+30,39852541.193746746,29.025885792969223,rock,5
planet_0912,0.18283727268453281,27.866226268178977,4.03144270129998,1.4331797787060534,3.774876371434007,4.189594722539988,3.489468483435962,10.0,682.4736384179091,10006.2,2.2322751027629453,4.126533350310935,2.4648863070710314e+30,6.91993711129329e+26,2.3043712709553166,0.3987389584692852,300.61537846518564,59905449.721605316,0.0003163199750340369,3.1631997503403693e-13,206661602068.7736,1.0912394967516947,1.0912394967516947e-09,1.5408172333711903,1.3341357304860493,1.0500972828734612,1.2084633364671593,2.4648863070710314e+30,49205681.47729768,35.83807827916801,rock,5
planet_3633,0.0655662871363098,6.289613610422847,5.450466009212802,1.5594560954107088,2.644805669694716,5.59853641781099,3.2907505118862885,10.0,1000.7470996072788,289.67999999999915,1.5594560954107088,5.450466009212802,1.5493505395398963e+30,9.69587953149337e+28,0.0,1.0,0.0,4348667114.886956,0.022962356173018936,2.2962356173018936e-11,731669927700.8234,3.8634517283326395,3.86345172833264e-09,1.5470104551056192,1.244089361572057,0.9505676119768329,0.718487190818377,1.5493505395398963e+30,227493550.25736848,165.69085961935068,rock,6
planet_1443,0.2681061933736286,50.04566400564242,0.9247212755626254,0.9489750016967464,0.8377833839760667,0.93253388953913,2.492049280681904,10.0,545.5580625190356,111.87999999999838,0.9489750016967464,0.9247212755626254,2.2185239328812615e+30,1.0519417951942844e+29,0.0,1.0,0.0,522873920.2060379,0.0027609418868258977,2.7609418868258975e-12,353846194690.0564,1.868421320437559,1.8684213204375592e-09,2.45094002967755,1.5003515040161512,1.0265575389371286,1.0610554818473736,2.2185239328812615e+30,20092577.005291536,14.634069195405344,rock,4
planet_4988,0.25443669843844174,47.648473220466364,12.676838187197875,1.9752169300500992,16.920914622188434,15.258759926819746,6.69418833526913,10.0,517.2944297804623,10010.0,3.836750659327861,15.231447926719461,1.6856825957823558e+30,4.729556666451066e+26,16.771942837031357,0.010578167293437935,22969.58712934134,21062556.819314815,0.00011121705083929564,1.1121705083929563e-13,88664788636.4025,0.46817850225986796,4.681785022598679e-10,1.2160454901572637,1.116400466931571,0.9678711979058359,0.7724514591801118,1.6856825957823558e+30,16241380.303787857,11.829118939393924,rock,5
planet_2931,0.07438398412602223,6.675029230014853,2.983103372655561,1.3172823084391503,1.3976731183354132,3.025388413232547,3.3429724708842965,10.0,1284.06731452466,20.490000000000645,1.3172823084391503,2.983103372655561,5.308047217470617e+30,5.308047217470617e+30,0.0,1.0,0.0,185820347369.88922,0.9811909920385841,9.81190992038584e-10,8768881175870.485,46.30250315318822,4.6302503153188216e-08,2.3679123153369,1.49131444493443,1.2323260140021826,2.5065162498284996,5.308047217470617e+30,616627505.594435,449.10961805858335,rock,5
planet_2208,0.18163355499216907,37.37214115030916,9.875735199139635,1.8418369295789911,10.517032297042451,11.036441294529425,5.764799993704632,10.0,337.44049089616936,10010.0,3.2275109420502535,11.034139938697837,6.181076146043877e+28,4.96242514542124e+25,10.498369116160656,0.0019827205532289126,48954.3634899838,4481347.610576582,2.3662951716147122e-05,2.366295171614712e-14,6847901607.276971,0.03615911533117435,3.615911533117435e-11,1.1680285991764237,1.088047750375341,0.5723530362893998,0.07127568997044677,1.7686802993284085e+29,2940766.244738282,2.1418545118268626,rock,2
planet_0344,0.3107622361921375,58.946916182895905,20.04853400036421,2.245716181230223,29.246272488565328,28.335657647329068,9.274781014242006,10.0,585.0025977634682,10010.0,5.030478659141344,28.28455022564869,3.8232687088646393e+30,1.072702895247748e+27,29.118427408529147,0.006167088106510361,46259.17940533048,33717780.891595505,0.00017804069011080295,1.7804069011080295e-13,176017469731.92862,0.929428656155759,9.29428656155759e-10,1.1826226858244524,1.0925180839599666,1.1521985129831172,1.8847256506164995,3.8232687088646393e+30,26564577.097722895,19.347834739783607,rock,5
planet_3293,0.2804846067860391,50.758484006938424,4.577927211987433,1.485111364901078,5.875325834601459,4.863684525423132,4.048545591977032,10.0,611.5381129943348,10004.0,2.58405104862027,4.827791337932373,3.681163991539952e+30,1.0338114881246314e+27,5.175536978612484,0.1256072401409783,1052.4828258245861,44960238.2970956,0.0002374044685709526,2.374044685709526e-13,158418590415.10754,0.8365009326849486,8.365009326849486e-10,1.4883011890194642,1.2985906509553815,1.1426181327421345,1.8334651774510364,3.681163991539952e+30,31722385.848269086,23.104432518768455,rock,4
